,subject,rule_description,rule_followed,rule_x,rule_identify,rule_y,worry,open_feedback_sess3
0,regcubm60dchcxr,{'Q0': 'Only one type of shape was associated with screams across all species'},{'Rule': 'Yes'},gauss,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},gauss,{'Rule': 'Other (please specify on the next page)'},{'Q0': 'Unkown - could be any'}
1,ds2ot3x1v6q63xg,"{'Q0': 'The more similar it is to the learned form, the closer it is to its percentage.'}",{'Rule': 'No'},non,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},non,{'Rule': 'No'},{'Q0': ''}
2,hkdemly7qs0y8be,"{'Q0': ""i'm not really sure, i was counting the amount of screams and trying to work out the % how likely going to get a scream""}",{'Rule': 'No'},lin_l,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},lin_l,"{'Rule': 'Yes, the very spikey one'}",{'Q0': ''}
3,nvk3jd25saegh24,"{'Q0': 'if the shape of the flower was the one of the dangerous specie (with spiked but not very long petals) the flower could scream and bite. The possibility of occurrence depends on the planet, different planets had different percentage'}",{'Rule': 'Yes'},gauss,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},gauss,{'Rule': 'No'},{'Q0': ''}
4,gnd1v5zo5x7qjad,"{'Q0': 'My understanding was that the ""sharper"" a flower, the more likely it was to scream.  So, using the screaming flower shown to me as a barometer, I could figure out the rough percentage of the time it would scream, and then if it was sharper, assume it would scream more frequently, and if it was rounder, assume it would scream less frequently.'}",{'Rule': 'Yes'},lin_l,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},lin_l,{'Rule': 'No'},"{'Q0': 'I found the studies quite fascinating and would be intrigued as to my ""results"" in whatever form they take.'}"
5,duzv7z4jux5olpv,"{'Q0': 'There was no definite relationship between the shape of the flowers and the occurance of the scream. The definitive factor seemed to be the color of the flower: for the exact same shape the probability of screaming varied a lot between the different colors, ranging from 25% to 75%.'}",{'Rule': 'Yes'},lin_l,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},lin_l,"{'Rule': 'Yes, the very spikey one'}","{'Q0': 'I rated the spikier flowers as more dangerous than the rounder ones. However, my hypothesis was definitely not sound: neither what was mentioned in the instructions nor the probability of screaming for the shapes shown provided any evidence to support it.'}"
6,mdtwfshb8x8v70p,{'Q0': 'The flowers that looked closer to the one that screams blood death probably also have a higher chance to scream'},{'Rule': 'No'},gauss,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},gauss,{'Rule': 'No'},{'Q0': 'The screams scare me'}
7,x6cu75oy88jq32r,{'Q0': 'If the flower has spiky petals it is more dangerous or it can scream frequently than the round flower or flower with no spiky petals.'},{'Rule': 'No'},mix,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},mix,"{'Rule': 'Yes, the very spikey one'}",{'Q0': 'Thank you for the experiment I really enjoyed.'}
8,wwv18727elhq22u,"{'Q0': 'The more similar it is to basic learning, the more suitable the given language is.'}",{'Rule': 'No'},non,{'Identify': 'It is equally likely for all the space flowers above to scream at you.'},non,{'Rule': 'No'},{'Q0': ''}
9,8es63ovt8uw2mgg,{'Q0': 'I think the screaming only occured with the most similar flower shapes that were presented in the testing phase. The screams indicated what chance a particular flower shape might bite.'},{'Rule': 'Yes'},gauss,{'Identify': 'The more average (closer to the middle in the image above) the space flower the more likely it is that it would scream at you.'},gauss,{'Rule': 'No'},{'Q0': ''}
10,jvcerddevc3rwm0,{'Q0': 'i dont know what relationship is thought i just put more propability of scream on those which have thinner petals and less on those whic have thick or none petals because they look just more safe based on my experience on Earth'},{'Rule': 'Yes'},lin_l,{'Identify': 'The spikier the petals of the space flower (more to the left in the image above) the more likely it is that it would scream at you.'},lin_l,"{'Rule': 'Yes, the very spikey one'}",{'Q0': ''}
11,k7xa918wsdj832n,{'Q0': 'i dont know'},{'Rule': 'No'},lin_l,{'Identify': 'The rounder the petals of the space flower (more to the right in the image above) the more likely it is that it would scream at you.'},lin_l,{'Rule': 'No'},{'Q0': ''}
12,6be4c2orpqft8ul,{'Q0': 'I think the thicker the shape the more likely the scream.'},{'Rule': 'No'},lin_l,{'Identify': 'The rounder the petals of the space flower (more to the right in the image above) the more likely it is that it would scream at you.'},lin_l,"{'Rule': 'Yes, the very round one'}",{'Q0': 'Thank you for the interesting study. '}
